name,time,value
humidity,1657998516601498198,49
humidity,1657998525848436352,50
humidity,1657998535116148196,50
humidity,1657998544385775735,50
humidity,1657998553655960892,50
humidity,1657998562913297354,50
humidity,1657998572179373594,50
humidity,1657998581448562799,50
humidity,1657998590703272692,50
humidity,1657998599964038776,50
humidity,1657998609234686397,49
humidity,1657998618500250573,50
humidity,1657998627747973135,50
humidity,1657998637011531855,50
humidity,1657998646266110107,50
humidity,1657998655525816089,50
humidity,1657998664778653494,50
humidity,1657998674033826100,50
humidity,1657998683287781333,50
humidity,1657998692556782371,50
humidity,1657998701820157761,49
humidity,1657998711073380967,49
humidity,1657998720326506691,49
humidity,1657998729599370092,49
humidity,1657998738866239142,50
humidity,1657998748120969384,50
humidity,1657998757382875921,49
humidity,1657998766646626395,49
humidity,1657998775913896029,49
humidity,1657998785177099993,49
humidity,1657998794436480971,50
humidity,1657998803691665656,50
humidity,1657998812959634220,50
humidity,1657998822236138973,50
humidity,1657998831512677555,50
humidity,1657998840776753146,50
humidity,1657998850065641474,50
humidity,1657998859330337406,50
humidity,1657998868593347475,50
humidity,1657998877870896872,50
humidity,1657998887129702403,50
humidity,1657998896395084566,50
humidity,1657998905659264623,50
humidity,1657998914952386388,50
humidity,1657998924217865292,50
humidity,1657998933468004254,50
humidity,1657998942736847463,50
humidity,1657998951995376752,50
humidity,1657998961248226602,50
humidity,1657998970511067228,50
humidity,1657998979785433304,50
humidity,1657998989058115274,50
humidity,1657998998328838257,50
humidity,1657999007595818018,50
humidity,1657999016836632271,50
humidity,1657999026111663488,50
humidity,1657999035386913422,50
humidity,1657999044650469257,50
humidity,1657999053932372005,50
humidity,1657999063202992549,50
humidity,1657999072473950067,50
humidity,1657999081734029825,50
humidity,1657999090985570265,50
humidity,1657999100255188810,50
humidity,1657999109514958570,50
humidity,1657999118796162680,50
humidity,1657999128066140829,50
humidity,1657999137331915478,50
humidity,1657999146606488379,50
humidity,1657999155851955448,50
humidity,1657999165127668914,50
humidity,1657999174398257992,50
humidity,1657999183646527126,50
humidity,1657999192915442694,50
humidity,1657999202176329145,50
humidity,1657999211441828725,50
humidity,1657999220705069479,50
humidity,1657999229965285526,50
humidity,1657999239217214002,50
humidity,1657999248480748611,50
humidity,1657999257742676212,50
humidity,1657999267006206656,51
humidity,1657999276267374320,51
humidity,1657999285531221623,50
humidity,1657999294788358009,50
humidity,1657999304045347421,50
humidity,1657999313298923491,50
humidity,1657999322576031754,50
humidity,1657999331825062463,50
humidity,1657999341091907909,50
humidity,1657999350342684504,50
humidity,1657999359608590030,50
humidity,1657999368878760374,50
humidity,1657999378133090309,50
humidity,1657999387398553420,50
humidity,1657999396654505134,50
humidity,1657999405897296269,50
humidity,1657999415154444165,50
humidity,1657999424420300239,50
humidity,1657999433680080295,49
humidity,1657999442952716084,49
humidity,1657999452216418908,49
humidity,1657999461478593973,50
humidity,1657999470754043783,50
humidity,1657999480018248839,50
humidity,1657999489276408168,50
humidity,1657999498535155988,50
humidity,1657999507787524313,49
humidity,1657999517068628026,50
humidity,1657999526345531249,50
humidity,1657999535606517472,50
humidity,1657999544879511373,49
humidity,1657999554158502297,50
humidity,1657999563421150615,49
humidity,1657999572700300708,49
humidity,1657999581967259015,49
humidity,1657999591223439253,49
humidity,1657999600482259279,49
humidity,1657999609738941171,49
humidity,1657999618990010327,49
humidity,1657999628262907335,49
humidity,1657999637522832804,49
humidity,1657999646785278948,49
humidity,1657999656061752695,49
humidity,1657999665336478575,49
humidity,1657999674596686779,49
humidity,1657999683849592602,49
humidity,1657999693114884099,49
humidity,1657999702368865264,49
humidity,1657999711642428010,49
humidity,1657999720904444265,49
humidity,1657999730172187867,49
humidity,1657999739447067617,49
humidity,1657999748709126348,49
humidity,1657999757960211277,49
humidity,1657999767238294460,49
humidity,1657999776494392621,49
humidity,1657999785768008101,49
humidity,1657999795041542994,49
humidity,1657999804294069366,49
humidity,1657999813550929177,49
humidity,1657999822821992369,49
humidity,1657999832083318959,49
humidity,1657999841349686913,50
humidity,1657999850612548823,50
humidity,1657999859888812909,50
humidity,1657999869136742837,50
humidity,1657999878395490040,50
humidity,1657999887659205864,50
humidity,1657999896915911077,50
humidity,1657999906189226029,50
humidity,1657999915451503773,50
humidity,1657999924711608670,50
humidity,1657999933960100082,50
humidity,1657999943231568314,50
humidity,1657999952471514898,50
humidity,1657999961733494495,50
humidity,1657999971010433844,50
humidity,1657999980268988388,50
humidity,1657999989544383327,50
humidity,1657999998819347095,50
humidity,1658000008099418452,50
humidity,1658000017366389200,50
humidity,1658000026636419282,50
humidity,1658000035895146137,50
humidity,1658000045149677861,50
humidity,1658000054412546897,50
humidity,1658000063676242174,50
humidity,1658000072940961941,50
humidity,1658000082212641363,51
humidity,1658000091470972002,50
humidity,1658000100733866097,50
humidity,1658000109997662666,50
humidity,1658000119264723507,50
humidity,1658000128514920394,50
humidity,1658000137776844803,50
humidity,1658000147041605250,50
humidity,1658000156313706580,50
humidity,1658000165583684707,50
